City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Upington,ZA,-28.4478,21.2561,49.95,63,0,5.37,clear sky
231,Beringovskiy,RU,63.05,179.3167,29.16,79,100,16.06,overcast clouds
232,Tutoia,BR,-2.7619,-42.2744,76.66,89,99,5.5,overcast clouds
233,Bethanien,NA,-26.502,17.1583,47.41,51,0,1.72,clear sky
234,Marawi,PH,7.9986,124.2928,79.83,77,78,5.93,broken clouds
235,Longyearbyen,SJ,78.2186,15.6401,8.44,61,40,8.05,scattered clouds
236,Airai,TL,-8.9266,125.4092,74.3,44,94,2.77,overcast clouds
237,Kontagora,NG,10.3999,5.4695,76.68,82,61,5.73,broken clouds
238,Kyra,RU,49.5776,111.9753,31.69,89,100,7.99,snow
239,Real,PH,14.6625,121.6047,86.94,68,83,9.48,broken clouds
240,Puerto Cabezas,NI,14.0351,-83.3888,76.14,88,8,7.09,clear sky
241,Yangjiang,CN,21.85,111.9667,84.24,72,13,14.25,few clouds
242,Seydi,TM,39.4816,62.9137,73.36,26,20,10.71,few clouds
243,Kisesa,TZ,-3.0833,34.15,68.16,83,82,4.47,broken clouds
244,Poum,NC,-20.2333,164.0167,76.3,73,86,14.76,overcast clouds
245,Batemans Bay,AU,-35.7167,150.1833,66.09,68,89,4.29,overcast clouds
246,Ribeira Grande,PT,38.5167,-28.7,58.71,74,15,16.02,few clouds
247,Yacuiba,BO,-22.038,-63.6797,68.13,93,2,2.91,clear sky
248,Yakeshi,CN,49.2833,120.7333,37.35,77,100,18.16,overcast clouds
249,Gore,NZ,-46.1028,168.9436,49.93,85,92,10.27,overcast clouds
250,Orlik,RU,52.5178,99.825,23.63,41,82,10.98,broken clouds
251,Iwanai,JP,42.9744,140.5089,59.88,29,60,5.17,broken clouds
252,Broome,US,42.2506,-75.833,56.17,65,0,8.05,clear sky
253,New Albany,US,38.2856,-85.8241,75.29,60,75,13.8,broken clouds
254,Warmbad,NA,-28.45,18.7333,49.19,68,0,4.74,clear sky
255,Tarrafal,CV,15.2833,-23.7667,72.39,82,5,11.86,clear sky
256,Sulina,RO,45.1559,29.6536,57.29,68,98,8.3,overcast clouds
257,Vao,NC,-22.6667,167.4833,73.49,68,100,24.18,overcast clouds
258,Cidreira,BR,-30.1811,-50.2056,66.97,88,0,18.54,clear sky
259,Antalaha,MG,-14.9003,50.2788,77.58,86,97,7.78,light rain
260,Aklavik,CA,68.2191,-135.0107,30.27,89,100,4.54,overcast clouds
261,Madang,PG,-5.2246,145.7966,85.15,64,22,5.79,few clouds
262,Capiibary,PY,-24.8,-56.0333,74.59,68,47,9.01,scattered clouds
263,Zyryanka,RU,65.75,150.85,25.72,84,100,15.08,overcast clouds
264,Nuevo Imperial,PE,-13.0754,-76.3172,67.41,85,93,3.65,overcast clouds
265,Praxedis Guerrero,MX,31.3667,-106.0167,63.16,15,0,3.11,clear sky
266,Pangnirtung,CA,66.1451,-65.7125,23.02,95,100,5.37,light snow
267,Hofn,IS,64.2539,-15.2082,41.63,83,100,1.9,overcast clouds
268,Contamana,PE,-7.3333,-75.0167,72.66,99,99,0.94,light rain
269,Pacific Grove,US,36.6177,-121.9166,54.25,88,6,8.01,clear sky
270,Zakamensk,RU,50.3741,103.2863,28.2,43,100,9.75,overcast clouds
271,Bambous Virieux,MU,-20.3428,57.7575,79.21,72,22,18.25,light rain
272,Bac Lieu,VN,9.285,105.7244,89.91,57,58,12.19,broken clouds
273,Fontanka,UA,46.5626,30.8607,53.53,74,93,8.77,overcast clouds
274,Kenai,US,60.5544,-151.2583,43.03,91,100,3.44,light rain
275,Leua,SK,48.2156,18.6071,53.44,78,80,2.77,broken clouds
276,Pauini,BR,-7.7136,-66.9764,72.66,98,90,2.19,overcast clouds
277,Shenjiamen,CN,29.9576,122.298,64.44,95,96,21.9,overcast clouds
278,Wajir,KE,1.7471,40.0573,82.89,63,68,12.55,broken clouds
279,Klaksvik,FO,62.2266,-6.589,40.12,85,100,13.96,overcast clouds
280,Murgab,TM,37.4966,61.9714,82.11,30,68,9.26,broken clouds
281,Berlevag,NO,70.8578,29.0864,35.55,69,75,6.91,broken clouds
282,Vanimo,PG,-2.6741,141.3028,83.84,73,100,6.85,overcast clouds
283,Tezu,IN,27.9167,96.1667,90.95,33,95,1.12,overcast clouds
284,Eureka,US,40.8021,-124.1637,47.93,84,72,3.74,broken clouds
285,Tabas,IR,33.5959,56.9244,87.46,17,78,6.02,broken clouds
286,Lata,PT,40.1629,-8.3327,44.08,93,35,2.89,scattered clouds
287,Nemuro,JP,43.3236,145.575,43.09,59,87,8.46,overcast clouds
288,Narsaq,GL,60.9167,-46.05,37.62,89,100,1.28,overcast clouds
289,Kidal,ML,18.4411,1.4078,74.55,13,0,11.39,clear sky
290,Awbari,LY,26.5921,12.7805,71.4,13,80,12.39,broken clouds
291,San Juan,AR,-31.5375,-68.5364,68.83,18,2,6.44,clear sky
292,Dondo,MZ,-19.6094,34.7431,76.51,90,22,4.52,few clouds
293,Avera,US,33.194,-82.5271,62.65,83,32,6.22,scattered clouds
294,Krasnoselkup,RU,65.7,82.4667,13.62,66,98,2.15,overcast clouds
295,Praia Da Vitoria,PT,38.7333,-27.0667,52.75,87,15,16.46,light rain
296,Lethem,GY,3.3803,-59.7968,76.62,81,90,4.45,overcast clouds
297,Hastings,GB,50.8552,0.5729,47.12,81,10,15.86,clear sky
298,Axim,GH,4.8699,-2.2405,77.16,84,100,4.56,overcast clouds
299,Juba,SS,4.8517,31.5825,73.24,81,100,5.08,light rain
300,Viramgam,IN,23.1225,72.0484,99.27,15,0,13.6,clear sky
301,Sheltozero,RU,61.3667,35.3667,34.47,89,99,8.21,overcast clouds
302,Coahuayana,MX,18.7333,-103.6833,67.68,82,32,3.0,scattered clouds
303,Kalmunai,LK,7.4167,81.8167,87.85,63,66,6.4,broken clouds
304,Port Pirie,AU,-33.1833,138.0167,73.49,47,99,4.97,overcast clouds
305,Hwange,ZW,-18.3693,26.5019,70.63,63,4,0.74,clear sky
306,Bathsheba,BB,13.2167,-59.5167,79.41,83,75,17.27,broken clouds
307,Yamethin,MM,20.4333,96.15,103.68,25,0,7.87,clear sky
308,Ostuacan,MX,17.4167,-93.3,72.97,73,2,2.59,clear sky
309,Miracatu,BR,-24.2814,-47.4597,68.74,98,93,0.34,overcast clouds
310,Nioro,GM,13.35,-15.75,78.91,27,3,5.06,clear sky
311,North Bend,US,43.4065,-124.2243,54.86,91,100,9.22,overcast clouds
312,Burla,IN,21.5,83.8667,102.94,12,8,4.18,clear sky
313,Narasannapeta,IN,18.4167,84.05,98.42,44,0,15.3,clear sky
314,Khani,GE,41.9563,42.9566,56.77,47,0,3.49,clear sky
315,Constantine,DZ,36.365,6.6147,47.61,87,0,0.0,clear sky
316,Kruisfontein,ZA,-34.0033,24.7314,56.88,81,90,12.93,light rain
317,Asau,RO,46.4333,26.4,60.96,63,100,3.91,light rain
318,Henties Bay,NA,-22.116,14.2845,58.91,82,0,5.68,clear sky
319,Miaga,PH,12.2376,123.8167,85.42,74,74,9.35,broken clouds
320,Roald,NO,62.5833,6.1333,48.76,81,75,10.36,broken clouds
321,Rodino,RU,52.5,80.25,45.45,37,39,11.68,scattered clouds
322,Necochea,AR,-38.5473,-58.7368,65.97,52,89,17.49,overcast clouds
323,Chernihiv,UA,51.0,32.0,54.81,65,18,14.32,few clouds
324,Balkanabat,TM,39.5108,54.3671,75.94,25,100,14.54,overcast clouds
325,Lazaro Cardenas,MX,17.9583,-102.2,73.35,78,51,4.65,broken clouds
326,Ranong,TH,9.9658,98.6348,91.42,55,93,3.02,overcast clouds
327,Washington,US,47.5001,-120.5015,54.0,58,98,3.76,overcast clouds
328,Sorong,ID,-0.8833,131.25,85.03,71,36,10.89,scattered clouds
329,Fairbanks,US,64.8378,-147.7164,46.4,43,100,3.44,overcast clouds
330,Jiamusi,CN,46.8333,130.35,65.14,24,99,0.31,overcast clouds
331,Mangan,IN,27.5167,88.5333,81.39,57,5,7.34,clear sky
332,Sharkan,RU,57.2989,53.8712,51.15,70,96,4.5,overcast clouds
333,Arman,RU,59.7,150.1667,36.01,58,77,11.23,broken clouds
334,Penzance,GB,50.1186,-5.5371,50.68,81,98,15.41,overcast clouds
335,Araguacu,BR,-12.9306,-49.8264,71.33,91,28,1.16,scattered clouds
336,Russell,US,32.3502,-85.1999,67.23,100,0,0.0,clear sky
337,Chakia,IN,26.4167,85.05,104.4,8,0,9.71,clear sky
338,Skibbereen,IE,51.55,-9.2667,52.11,85,57,15.17,broken clouds
339,Nuqui,CO,5.7125,-77.2708,76.95,87,86,2.59,light rain
340,Padilla,CO,3.2204,-76.3139,67.57,97,100,0.83,overcast clouds
341,Upernavik,GL,72.7868,-56.1549,0.86,84,47,4.79,scattered clouds
