City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Senica,SK,2022-04-24 13:30:30,48.6792,17.367,68.0,61,49,18.57
279,Ulaanbaatar,MN,2022-04-24 13:30:30,47.9077,106.8832,53.73,10,75,11.18
280,Saint-Joseph,RE,2022-04-24 13:30:31,-21.3667,55.6167,77.38,75,100,15.73
281,Ekhabi,RU,2022-04-24 13:30:31,53.5102,142.9671,28.08,96,100,10.85
282,Biltine,TD,2022-04-24 13:30:31,14.5333,20.9167,106.27,5,7,8.37
283,Burnie,AU,2022-04-24 13:30:31,-41.0667,145.9167,52.95,93,8,4.14
284,Kununurra,AU,2022-04-24 13:30:32,-15.7667,128.7333,73.38,73,98,0.0
285,Jacmel,HT,2022-04-24 13:30:32,18.2342,-72.5347,78.64,70,100,1.45
286,Samarai,PG,2022-04-24 13:30:32,-10.6167,150.6667,82.96,73,55,9.22
287,Teya,RU,2022-04-24 13:30:33,60.3778,92.6267,27.54,96,100,4.54
288,Ouegoa,NC,2022-04-24 13:30:33,-20.35,164.4333,74.68,82,13,13.15
289,Brusyliv,UA,2022-04-24 13:30:33,50.2845,29.5263,61.3,46,9,9.31
290,Ipixuna,BR,2022-04-24 13:30:34,-1.7625,-48.8043,75.96,86,100,5.19
291,Davila,PH,2022-04-24 13:30:34,18.4726,120.5763,82.53,77,6,4.63
